EIDID,seqv1.year,seqv1,lat,lon,Country,Decade,Year,zoo,vect,wild,dom,drm,tot,EID.1940,EID.1950,EID.1960,EID.1970,EID.1980,EID.1990,EID.2000
1,1990.42056,42056,-31.5,115.5,AUS,1990,1993,0,0,0,0,1,1,0,0,0,0,0,1,0
2,1980.10617,10617,55.5,-3.5,GBR,1980,1985,0,0,0,0,1,1,0,0,0,0,1,0,0
3,2000.15223,15223,42.5,-77.5,USA,2000,2001,0,0,0,0,1,1,0,0,0,0,0,0,1
4,1990.21542,21542,25.5,121.5,TWN,1990,1998,0,0,0,0,1,1,0,0,0,0,0,1,0
5,1970.10321,10321,56.5,60.5,RUS,1970,1979,1,0,1,1,0,1,0,0,0,1,0,0,0
8,1980.31060,31060,-1.5,-80.5,ECU,1980,1987,0,1,0,0,0,1,0,0,0,0,1,0,0
9,1980.30706,30706,-0.5,-74.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31065,31065,-1.5,-75.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31066,31066,-1.5,-74.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31067,31067,-1.5,-73.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31424,31424,-2.5,-76.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31425,31425,-2.5,-75.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31426,31426,-2.5,-74.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31427,31427,-2.5,-73.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31428,31428,-2.5,-72.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31429,31429,-2.5,-71.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31430,31430,-2.5,-70.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31780,31780,-3.5,-80.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31783,31783,-3.5,-77.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31784,31784,-3.5,-76.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31785,31785,-3.5,-75.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31786,31786,-3.5,-74.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31787,31787,-3.5,-73.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31788,31788,-3.5,-72.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.31789,31789,-3.5,-71.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32139,32139,-4.5,-81.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32140,32140,-4.5,-80.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32142,32142,-4.5,-78.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32143,32143,-4.5,-77.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32144,32144,-4.5,-76.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32145,32145,-4.5,-75.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32146,32146,-4.5,-74.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32147,32147,-4.5,-73.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32148,32148,-4.5,-72.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32499,32499,-5.5,-81.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32500,32500,-5.5,-80.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32501,32501,-5.5,-79.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32502,32502,-5.5,-78.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32503,32503,-5.5,-77.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32504,32504,-5.5,-76.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32505,32505,-5.5,-75.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32506,32506,-5.5,-74.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32507,32507,-5.5,-73.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32859,32859,-6.5,-81.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32860,32860,-6.5,-80.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
9,1980.32861,32861,-6.5,-79.5,PER,1980,1988,0,1,0,0,1,1,0,0,0,0,1,0,0
